iter	Passed	Remaining
406	6191	9020
407	6203	9000
408	6215	8981
409	6229	8964
410	6242	8945
411	6263	8938
412	6281	8927
413	6292	8907
414	6307	8891
415	6320	8872
416	6333	8854
417	6347	8838
418	6362	8822
419	6379	8810
420	6395	8795
421	6406	8775
422	6415	8751
423	6426	8730
424	6447	8723
425	6462	8707
426	6472	8685
427	6484	8666
428	6494	8644
429	6517	8639
430	6530	8621
431	6544	8604
432	6556	8586
433	6570	8568
434	6587	8555
435	6601	8539
436	6622	8532
437	6638	8517
438	6647	8494
439	6661	8478
440	6669	8454
441	6681	8434
442	6693	8416
443	6706	8398
444	6717	8378
445	6736	8367
446	6748	8349
447	6759	8328
448	6770	8308
449	6779	8286
450	6791	8267
451	6804	8249
452	6815	8230
453	6826	8210
454	6839	8192
455	6851	8174
456	6858	8149
457	6867	8126
458	6877	8106
459	6883	8080
460	6893	8060
461	6905	8041
462	6917	8023
463	6928	8003
464	6938	7982
465	6950	7965
466	6957	7941
467	6965	7917
468	6972	7894
469	6980	7872
470	6990	7851
471	7000	7831
472	7012	7813
473	7023	7794
474	7034	7774
475	7046	7757
476	7053	7734
477	7061	7711
478	7069	7689
479	7076	7666
480	7081	7640
481	7090	7620
482	7096	7595
483	7102	7572
484	7107	7547
485	7119	7529
486	7125	7505
487	7131	7482
488	7142	7463
489	7151	7443
490	7158	7421
491	7169	7402
492	7179	7383
493	7192	7367
494	7207	7352
495	7214	7330
496	7220	7307
497	7233	7291
498	7250	7279
499	7264	7264
500	7285	7256
501	7298	7240
502	7311	7224
503	7322	7205
504	7333	7188
505	7346	7171
506	7358	7155
507	7372	7139
508	7382	7121
509	7393	7103
510	7405	7086
511	7416	7069
512	7429	7052
513	7443	7037
514	7455	7021
515	7471	7008
516	7483	6991
517	7495	6974
518	7508	6958
519	7519	6941
520	7530	6923
521	7542	6906
522	7552	6888
523	7564	6871
524	7578	6856
525	7590	6839
526	7602	6823
527	7616	6808
528	7629	6793
529	7645	6780
530	7662	6767
531	7676	6752
532	7689	6737
533	7705	6724
534	7723	6712
535	7736	6697
536	7744	6677
537	7757	6661
538	7763	6639
539	7770	6618
540	7777	6598
541	7785	6578
542	7792	6558
543	7798	6537
544	7809	6520
545	7817	6500
546	7825	6481
547	7840	6467
548	7847	6446
549	7856	6427
550	7866	6410
551	7874	6390
552	7884	6372
553	7891	6353
554	7898	6332
555	7909	6316
556	7924	6302
557	7931	6282
558	7939	6263
559	7951	6247
560	7960	6229
561	7967	6209
562	7973	6189
563	7981	6169
564	7987	6149
565	7997	6132
566	8003	6112
567	8008	6091
568	8014	6070
569	8026	6054
570	8032	6034
571	8039	6015
572	8048	5997
573	8066	5986
574	8075	5969
575	8082	5949
576	8104	5941
577	8112	5923
578	8122	5905
579	8131	5888
580	8143	5873
581	8149	5853
582	8156	5833
583	8163	5814
584	8169	5795
585	8174	5775
586	8180	5755
587	8186	5736
588	8194	5717
589	8203	5700
590	8212	5683
591	8222	5666
592	8230	5648
593	8236	5629
594	8244	5611
595	8254	5595
596	8271	5583
597	8289	5572
598	8301	5557
599	8314	5543
600	8325	5526
601	8331	5507
602	8338	5490
603	8345	5471
604	8351	5452
605	8361	5436
606	8368	5418
607	8377	5401
608	8383	5382
609	8388	5363
610	8397	5346
611	8402	5326
612	8408	5308
613	8416	5291
614	8423	5273
615	8430	5255
616	8439	5238
617	8453	5225
618	8461	5208
619	8480	5198
620	8498	5186
621	8513	5173
622	8529	5161
623	8546	5149
624	8558	5135
625	8568	5119
626	8579	5104
627	8591	5089
628	8595	5070
629	8603	5052
630	8611	5035
631	8617	5017
632	8622	4998
633	8632	4983
634	8653	4974
635	8670	4962
636	8677	4944
637	8684	4927
638	8691	4910
639	8695	4891
640	8702	4873
641	8708	4856
642	8719	4840
643	8730	4826
644	8744	4812
645	8761	4801
646	8772	4786
647	8784	4772
648	8799	4759
649	8808	4742
650	8815	4726
651	8829	4712
652	8851	4703
653	8872	4693
654	8891	4683
655	8905	4669
656	8917	4655
657	8929	4641
658	8946	4629
659	8958	4614
660	8969	4600
661	8986	4588
662	9004	4576
663	9016	4562
664	9028	4548
665	9042	4534
666	9053	4519
667	9066	4505
668	9077	4491
669	9088	4476
670	9100	4461
671	9113	4448
672	9124	4433
673	9136	4418
674	9147	4404
675	9164	4392
676	9175	4377
677	9188	4363
678	9205	4351
679	9217	4337
680	9228	4323
681	9244	4310
682	9261	4298
683	9275	4285
684	9290	4272
685	9304	4258
686	9316	4244
687	9329	4230
688	9339	4215
689	9351	4201
690	9363	4187
691	9371	4171
692	9387	4158
693	9397	4143
694	9405	4127
695	9417	4113
696	9427	4098
697	9437	4083
698	9442	4066
699	9448	4049
700	9463	4036
701	9478	4023
702	9484	4007
703	9494	3991
704	9504	3977
705	9514	3962
706	9521	3945
707	9530	3930
708	9538	3914
709	9545	3898
710	9553	3883
711	9564	3868
712	9576	3854
713	9588	3840
714	9607	3829
715	9629	3819
716	9646	3807
717	9659	3793
718	9674	3781
719	9686	3766
720	9699	3753
721	9715	3740
722	9728	3727
723	9742	3713
724	9757	3701
725	9769	3687
726	9785	3674
727	9801	3661
728	9816	3649
729	9840	3639
730	9850	3624
731	9872	3614
732	9895	3604
733	9902	3588
734	9914	3574
735	9926	3560
736	9937	3546
737	9944	3530
738	9951	3514
739	9959	3499
740	9964	3482
741	9970	3466
742	9976	3450
743	9984	3435
744	9991	3419
745	10002	3405
746	10013	3391
747	10030	3379
748	10040	3364
749	10048	3349
750	10055	3333
751	10061	3318
752	10068	3302
753	10074	3287
754	10080	3271
755	10086	3255
756	10091	3239
757	10098	3223
758	10106	3209
759	10125	3197
760	10137	3183
761	10153	3171
762	10163	3157
763	10174	3142
764	10193	3131
765	10212	3119
766	10231	3108
767	10245	3095
768	10260	3082
769	10281	3071
770	10301	3059
771	10319	3047
772	10336	3035
773	10354	3023
774	10364	3009
775	10379	2996
776	10389	2981
777	10399	2967
778	10412	2954
779	10421	2939
780	10435	2926
781	10455	2914
782	10471	2901
783	10484	2888
784	10498	2875
785	10509	2861
786	10522	2847
787	10542	2836
788	10555	2822
789	10574	2811
790	10586	2797
791	10599	2783
792	10616	2771
793	10627	2757
794	10645	2745
795	10663	2732
796	10676	2719
797	10690	2706
798	10700	2691
799	10710	2677
800	10722	2663
801	10739	2651
802	10753	2638
803	10771	2625
804	10784	2612
805	10801	2599
806	10822	2588
807	10834	2574
808	10844	2560
809	10854	2546
810	10865	2532
811	10877	2518
812	10892	2505
813	10902	2491
814	10913	2477
815	10924	2463
816	10935	2449
817	10947	2435
818	10960	2422
819	10972	2408
820	10983	2394
821	10994	2380
822	11005	2366
823	11017	2353
824	11028	2339
825	11042	2326
826	11053	2312
827	11065	2298
828	11078	2285
829	11091	2271
